id;col;lig;X_utm;Y_utm
GCP #1;1635,573;-599,633;440332;8757459
GCP #2;1715,844;-657,186;440140;8757325
GCP #3;1724,931;-723,068;439964;8757253
GCP #4;1698,427;-779,863;439781,775;8757183,55
GCP #5;1615,534;-846,375;439604,448;8757143,89
GCP #6;1450,043;-954,034;439427;8757145
GCP #7;1206,204;-1093,371;439238;8757143
GCP #8;862,234;-1271,607;439058;8757142
GCP #10;1654,847;-1190,731;439063;8756902
GCP #11;1846,318;-1041,85;439245;8756918
GCP #12;1963,388;-912,847;439455;8756950
GCP #13;1996,183;-819,927;439629;8756991
GCP #14;2012,307;-754,61;439817;8757041
GCP #15;2041,823;-646,933;440146;8757122
GCP #16;498,743;-1311,948;439038;8757250
GCP #17;419,389;-1485,946;438871;8757119
GCP #18;96,873;-1475,389;438902;8757249
GCP #19;79,848;-1386,192;439003;8757373
GCP #21;1178,563;-1470,868;438843;8756906
GCP #20;440,229;-1909,325;438670;8756915
GCP #22;1847,987;-1652,612;438741;8756733
GCP #23;2884,118;-1813,921;438659;8756585
GCP #24;2500,75;-1252,775;438925;8756673
GCP #25;2558,302;-1055,886;439109;8756683
GCP #26;2629,485;-934,724;439328;8756682
GCP #28;3198,373;-871,299;439339,634;8756523,82
GCP #29;3362,155;-953,191;439147,2;8756501,74
GCP #30;3587,355;-1065,791;438964,229;8756470,19
GCP #31;4133;-625;439343,428;8756262,69
GCP #27;4017;-488;439575,649;8756228,63
GCP #32;4141;-505;439562,95;8756197,58
GCP #33;3902;-475;439582,705;8756269,55
GCP #34;3660,42;-601,337;439469,446;8756363,84
GCP #35;3472,155;-527,744;439590,633;8756398,65
GCP #36;3643,443;-567,753;439492,06;8756372,85
GCP #37;3290;-609;439596,816;8756467,1
GCP #38;3418;-471;439656,082;8756420,54
GCP #39;3196;-613;439620,805;8756502,38
GCP #40;3128;-468;439712,526;8756523,55
GCP #41;3077;-608;439649,027;8756540,48
GCP #42;2971;-654;439649,027;8756581,4
GCP #43;2732;-693;439661,727;8756677,36
GCP #44;2652;-648;439710;8756716
GCP #45;2594;-838;439522,028;8756722,51
GCP #46;2438;-524;440192,75;8756888,75
GCP #47;2276;-522;440574,708;8757068,23
GCP #48;2375;-473;440607;8757011
GCP #49;2231;-464;440612,807;8757117,62
GCP #50;2133;-519;440580,352;8757179,71
GCP #51;2243;-384;440697,473;8757131,73
GCP #52;2007;-477;440618,452;8757286,95
GCP #66;1133;-645;439680,875;8757440,13
GCP #67;1124;-617;439699;8757449
GCP #68;1276;-666;439759;8757403
GCP #69;1329;-682;439779;8757384
GCP #70;1410;-739;439776;8757338
GCP #74;1143;-738;439598;8757379
GCP #75;1229;-857;439530,788;8757296,33
GCP #76;1156;-798;439543,826;8757345,55
GCP #77;1187;-850;439516,12;8757310,67
GCP #78;1163;-889;439478,309;8757298,61
GCP #79;1176;-941;439443,75;8757265,25
GCP #80;1109;-964;439403;8757273
GCP #81;1084;-898;439431;8757309
GCP #82;1028;-986;439358;8757282
GCP #83;935;-1082;439261,815;8757249,34
GCP #84;860;-1110;439224,495;8757253,55
GCP #85;780;-1038;439236;8757307
GCP #86;665;-1022;439215;8757337
GCP #87;501;-939;439213;8757404
GCP #90;530,538;-1214,945;439121,829;8757307,84
GCP #9;1004;-864;439420,625;8757337,38
GCP #88;1948;-517;440556,875;8757314,63
GCP #89;1910;-525;440535,875;8757337,88
