id	col	lig	X_utm	Y_utm
GCP #1	1487.125	-1651.125	438746.625	8758791.875
GCP #2	1262.375	-1726.125	438723.375	8758879.125
GCP #3	1276.122	-1686.843	438779	8758913
GCP #4	1318.464	-1647.323	438817	8758920
GCP #5	1417.263	-1634.621	438822	8758869
GCP #6	1396.092	-1620.506	438838.184	8758896.628
GCP #7	1437.023	-1619.095	438833	8758867
GCP #8	1487.834	-1617.684	438839	8758845
GCP #9	1504.771	-1603.569	438848	8758841
GCP #11	1439.846	-1586.633	438873	8758897
GCP #12	1420.086	-1573.93	438897	8758927
GCP #13	1586.633	-1556.993	438897	8758831
GCP #14	1466.663	-1554.17	438923	8758915
GCP #15	1590.867	-1534.41	438923	8758852
GCP #16	1652.969	-1541.467	438913	8758807
GCP #17	1691.077	-1530.176	438926	8758796
GCP #18	1672.729	-1518.885	438945	8758816
GCP #19	1740.476	-1514.651	438950	8758783
GCP #20	1788.464	-1500.536	438987	8758775
GCP #23	1925.371	-1453.96	439076	8758745
GCP #21	1750.356	-1494.891	438999	8758804
GCP #22	1808.224	-1494.891	439000	8758770
GCP #24	1878.795	-1470.897	439036	8758756
GCP #10	1541.467	-1586.633	438867	8758837
GCP #25	1843.509	-1470.897	439036	8758775
GCP #26	1912.669	-1439.846	439098	8758768
GCP #27	1952.188	-1438.434	439106	8758752
GCP #28	1976.182	-1437.023	439105.342	8758734.865
GCP #29	2029.816	-1404.56	439146.304	8758729.545
GCP #30	2056.633	-1413.029	439129.281	8758704.01
GCP #31	2074.981	-1400.326	439142.048	8758702.414
GCP #32	2110.266	-1398.915	439136.728	8758682.731
GCP #33	2059.455	-1383.389	439172.371	8758726.885
GCP #34	2145.552	-1386.212	439156.943	8758669.432
GCP #35	2192.128	-1384.801	439151.624	8758648.153
GCP #36	2374.2	-1336.813	439187.798	8758563.568
GCP #37	2316.332	-1271.888	439316.004	8758617.298
GCP #38	2361.498	-1284.59	439282.49	8758583.783
GCP #39	2377.023	-1270.476	439293.661	8758581.124
GCP #40	2502.639	-1228.134	439253.763	8758521.542
GCP #41	2454.651	-1293.059	439225.568	8758533.246
GCP #42	2543.57	-1178.735	439293.661	8758500.263
GCP #43	2475.822	-1167.443	439280.362	8758542.821
GCP #44	2436.302	-1321.287	439206.949	8758534.842
GCP #45	2461.708	-1335.401	439187.798	8758526.862
GCP #46	2508.284	-1290.236	439213.865	8758504.519
GCP #47	2539.335	-1284.59	439201.629	8758484.836
GCP #48	2597.203	-1225.311	439229.292	8758462.493
GCP #49	2609.906	-1201.317	439245.783	8758457.705
GCP #163	4222	-1172	438949.279	8757870.604
GCP #164	4180	-1218	438856.347	8757888.161
GCP #162	4132	-1279	438783.318	8757915.93
GCP #165	4057	-1386	438675.258	8757954.726
GCP #166	3991	-1550	438535.392	8757996.95
GCP #167	3897	-1704	438424.028	8758034.067
GCP #168	3809	-1844	438345.19	8758060.285
GCP #169	2961	-2084	438256.706	8758211.767
GCP #170	3209	-1819	438370.2	8758174.529
GCP #171	3378	-1653	438480.474	8758137.46
GCP #172	3526	-1510	438605.809	8758099.664
GCP #173	3612	-1403	438708.214	8758070.449
GCP #174	3702	-1295	438826.393	8758033.026
GCP #175	3761	-1218	438941.981	8758001.326
GCP #176	3414	-1226	439006.901	8758117.365
GCP #177	3346	-1279	438928.417	8758143.529
GCP #178	3196	-1349	438826.201	8758191.34
GCP #179	3071	-1420	438734.65	8758229.327
GCP #180	2934	-1502	438653.583	8758261.222
GCP #181	2773	-1606	438561.859	8758295.506
GCP #182	2534	-1758	438450.261	8758341.947
GCP #183	2284	-1891	438366.881	8758377.699
GCP #184	1927	-2111	438263.805	8758421.875
GCP #185	1642	-1968	438363.534	8758543.621
GCP #186	1869	-1815	438443.149	8758519.227
GCP #187	2052	-1706	438516.044	8758489.581
GCP #188	2276	-1609	438591.536	8758454.223
GCP #189	2506	-1502	438695.963	8758408.147
GCP #190	2647	-1436	438761.698	8758371.415
GCP #191	2833	-1374	438839.796	8758322.91
GCP #192	3002	-1318	438928.111	8758270.187
GCP #193	3110	-1271	438991.262	8758231.732
GCP #194	3172	-1239	439032.74	8758212.955
GCP #195	2931	-1285	439061.89	8758310.247
GCP #196	2773	-1316	439078.666	8758382.066
GCP #197	2685	-1340	439042.035	8758411.78
GCP #198	2629	-1351	439001.191	8758428.663
GCP #199	2557	-1385	438931.5	8758443.226
GCP #200	2428	-1421	438846.411	8758473.443
GCP #201	2263	-1489	438755.865	8758509.518
GCP #202	2094	-1566	438676.072	8758545.075
GCP #203	1880	-1677	438573.348	8758574.309
GCP #204	1662	-1790	438492.308	8758606.215
GCP #205	1347	-1789	438571.705	8758775.533
GCP #206	1482	-1706	438658.669	8758776.866
GCP #207	1647	-1595	438751.266	8758761.169
GCP #208	1770	-1543	438806.331	8758734.271
GCP #209	1893	-1496	438855.214	8758698.365
GCP #210	2118	-1442	438924.862	8758624.203
GCP #211	2276	-1404	438978.224	8758569.46
GCP #212	2409	-1372	439022.994	8758522.586
GCP #213	2216	-1395	439031.631	8758626.462
GCP #214	1961	-1468	438928.931	8758707.813
GCP #215	1729	-1551	438818.433	8758754.169
GCP #216	1605	-1613	438748.323	8758781.799
GCP #217	1425	-2114	438277	8758557
GCP #218	1672	-1845	438440.334	8758582.964
GCP #219	1620	-2306	438187.908	8758454.901
GCP #220	2626.5	-2234.5	438195.311	8758261.695
GCP #221	2158.5	-1872.5	438384.075	8758411.966
GCP #222	3082.5	-1794.5	438395.179	8758199.514
GCP #223	3376.5	-1526.5	438596.528	8758137.333
GCP #224	4120.5	-1356.5	438706.825	8757941.166
GCP #225	3615	-1199	438990.342	8758046.282
