id;col;lig;X_utm;Y_utm
GCP #1;4192,183;-624,561;439043,952;8757345,199
GCP #2;3929,837;-562,954;438997,106;8757419,621
GCP #3;3992,597;-499,272;439020,696;8757432,579
GCP #4;3978,753;-558,34;439004,083;8757411,648
GCP #5;3988,905;-584,182;439003,087;8757402,013
GCP #6;4011,979;-576,799;439007,738;8757397,693
GCP #7;4028,592;-584,182;439007,738;8757391,713
GCP #8;4058,126;-586,951;439019,034;8757376,098
GCP #9;3918,762;-535,266;439000,263;8757436,067
GCP #10;3874,461;-528,806;438998,934;8757448,692
GCP #11;3795,088;-557,417;438982,322;8757459,324
GCP #12;3790,473;-533,42;438987,638;8757473,278
GCP #13;3700,025;-561,109;438967,039;8757485,903
GCP #14;3634,496;-566,646;438963,716;8757501,851
GCP #15;3664,953;-548,187;438972,354;8757507,831
GCP #16;3553,278;-543,573;438990,295;8757592,221
GCP #17;3590,195;-503,886;439008,236;8757618,8
GCP #18;3633,574;-466,046;439040,132;8757641,392
GCP #19;3604,962;-479,89;439026,842;8757642,721
GCP #20;3609,577;-530,652;438983,651;8757568,964
GCP #21;3686,181;-489,119;439020,862;8757568,964
GCP #22;3708,332;-490,042;439019,533;8757544,378
GCP #23;3399,147;-579,567;438959,729;8757630,761
GCP #24;3438,833;-568,492;438974,348;8757623,451
GCP #25;3427,758;-528,806;438982,322;8757683,255
GCP #26;3460,061;-545,419;438975,677;8757657,34
GCP #27;3353,923;-564,8;438959,729;8757686,577
GCP #28;3305,007;-570,338;438957,736;8757706,512
GCP #29;3372,382;-536,189;438982,322;8757711,163
GCP #30;3369,613;-530,652;438980,993;8757725,782
GCP #31;3513,591;-464,2;439035,48;8757721,13
GCP #32;3500,67;-460,508;439042,125;8757748,374
GCP #33;3345,616;-528,806;439003,585;8757769,638
GCP #34;3381,611;-507,578;439018,868;8757779,605
GCP #35;3441,602;-471,583;439048,77;8757792,895
GCP #36;3387,149;-486,35;439032,822;8757818,809
GCP #37;3341,925;-511,27;439018,868;8757813,494
GCP #38;3324,389;-505,732;439017,539;8757830,106
GCP #39;3305,007;-532,497;439006,243;8757806,849
GCP #40;3276,396;-533,42;438998,269;8757822,132
GCP #41;3266,244;-522,345;439000,927;8757841,402
GCP #42;3367,767;-472,506;439035,48;8757854,027
GCP #43;3493,287;-421,745;439097,277;8757815,487
GCP #44;3422,22;-458,662;439053,421;8757830,106
GCP #45;3413,914;-443,895;439058,737;8757858,678
GCP #46;3279,165;-488,196;439019,533;8757883,929
GCP #47;3325,312;-466,969;439032,158;8757881,935
GCP #48;3174,873;-529,729;438980,328;8757875,29
GCP #49;3219,174;-519,576;438997,605;8757869,975
GCP #50;3170,258;-522,345;438982,322;8757889,245
GCP #51;3228,403;-504,809;439000,263;8757889,909
GCP #52;3255,168;-498,349;439010,23;8757887,251
GCP #53;3138,878;-530,652;438969,696;8757884,593
GCP #54;3118,573;-529,729;438963,052;8757893,231
GCP #57;3185,948;-501,118;439024,849;8757974,963
GCP #58;3202,561;-494,657;439033,487;8757971,64
GCP #56;3226,557;-489,119;439041,461;8757972,305
GCP #59;3281,934;-472,506;439063,389;8757963,002
GCP #60;255,616;-346,064;437947,057;8757519,792
GCP #61;213,16;-327,605;437937,09;8757515,141
GCP #62;229,773;-325,759;437933,103;8757528,43
GCP #63;274,997;-349,755;437947,057;8757529,095
GCP #64;242,695;-325,759;437934,432;8757539,062
GCP #65;278,689;-342,372;437941,077;8757543,713
GCP #66;368,214;-372,829;437958,354;8757565,641
GCP #67;357,139;-362,677;437952,373;8757574,28
GCP #68;418,976;-376,521;437964,998;8757585,576
GCP #69;371,906;-350,678;437953,038;8757588,898
GCP #70;351,601;-338,68;437940,412;8757588,898
GCP #71;326,682;-322,067;437932,439;8757594,879
GCP #72;285,15;-302,686;437922,471;8757592,221
GCP #73;250,078;-310,992;437927,787;8757556,339
GCP #74;274,074;-241,772;437902,537;8757630,096
GCP #75;203,008;-193,779;437882,602;8757630,761
GCP #76;255,616;-264,845;437909,846;8757604,846
GCP #77;325,759;-304,531;437923,8;8757607,504
GCP #78;381,135;-334,988;437942,406;8757612,82
GCP #79;417,13;-354,37;437952,373;8757606,175
GCP #80;439,281;-359,908;437957,689;8757621,458
GCP #81;409,747;-341,449;437947,057;8757618,136
GCP #82;429,128;-343,295;437949,051;8757628,103
GCP #83;440,204;-331,297;437945,064;8757644,715
GCP #84;409,747;-286,996;437927,787;8757661,327
GCP #85;426,359;-279,612;437930,445;8757674,617
GCP #86;595,257;-367,291;437987,591;8757666,643
GCP #87;610,024;-360,831;437989,584;8757675,946
GCP #88;627,56;-359,908;437992,242;8757683,919
GCP #89;468,815;-257,462;437925,794;8757719,801
GCP #90;340,526;-113,483;437872,635;8757757,677
GCP #91;573,107;-344,218;437973,637;8757680,597
GCP #92;578,644;-315,607;437959,682;8757734,42
GCP #93;598,026;-276,843;437944,399;8757802,197
GCP #94;554,648;-244,54;437922,471;8757808,178
GCP #95;531,575;-216,852;437912,504;8757812,165
GCP #96;654,325;-317,453;437963,669;8757794,888
GCP #97;710,625;-324,836;437978,288;8757817,48
GCP #98;753,08;-333,143;437990,913;8757836,75
GCP #99;759,541;-328,528;437987,591;8757850,04
GCP #100;549,11;-209,469;437907,188;8757848,711
GCP #101;606,333;-250,078;437931,11;8757853,363
GCP #102;682,014;-290,687;437952,373;8757858,014
GCP #103;714,316;-294,379;437959,018;8757881,935
GCP #104;760,463;-310,069;437972,308;8757905,192
GCP #105;709,702;-256,539;437941,741;8757930,443
GCP #106;773,385;-306,377;437968,985;8757925,127
GCP #107;776,153;-289,764;437963,005;8757944,397
GCP #108;785,383;-281,458;437964,998;8757954,364
GCP #109;733,698;-234,388;437939,084;8757967,654
GCP #110;662,632;-172,551;437908,517;8757978,95
GCP #111;788,152;-265,768;437965,663;8757970,312
GCP #112;864,063;-301,532;437992,74;8757978,784
GCP #113;864,525;-296,917;437989,418;8757984,1
GCP #114;878,369;-301,993;437996,727;8757988,419
GCP #115;914,364;-299,225;438001,379;8758034,268
GCP #116;870,524;-287,688;437988,089;8758010,347
GCP #117;429,165;-441,219;438041,886;8757397,735
GCP #118;544,115;-420,985;438011,761;8757561,11
GCP #119;1274,717;-808,027;438297,613;8757088,653
GCP #120;1278,161;-981,959;438321,271;8756973,699
GCP #121;1693,188;-906,187;438372,637;8757034,284
GCP #122;1691,466;-653,038;438363,545;8757246,815
GCP #123;1572,641;-556,6;438330,388;8757371,439
GCP #124;956,128;-520,436;438174,894;8757374,106
GCP #125;1162,78;-468,773;438196,15;8757530,818
GCP #126;2535,296;-687,48;438549,147;8757247,577
GCP #127;2325,199;-609,985;438521,326;8757367,246
GCP #128;2032,442;-525,602;438458,442;8757509,402
GCP #129;2214,985;-685,758;438480,166;8757237,668
GCP #130;2597,292;-857,968;438525,416;8757097,503
GCP #132;1723,325;-1644,108;438382,495;8756752,58
GCP #133;1636,358;-1429,706;438376,318;8756807,493
GCP #134;2743,67;-1264,384;438500,392;8756906,529
GCP #135;3415,29;-863,134;438679,513;8757101,454
GCP #136;3959,475;-1233,386;438666,342;8756914,431
GCP #137;3932,352;-813,624;438874,438;8757119,893
GCP #138;3342,962;-713,311;438742,732;8757255,551
GCP #139;3039,872;-640,983;438715,693;8757361,149
GCP #140;3542,726;-647,872;438853,275;8757356,194
GCP #141;4038,907;-642,49;438999,395;8757363,386
GCP #142;3984,876;-730,963;438900,121;8757250,941
GCP #143;2577,057;-574,252;438622,74;8757507,634
GCP #146;2153,42;-474,37;438521,494;8757762,637
GCP #145;2742,379;-523,45;438755,71;8757774,656
GCP #147;1665,204;-423,568;438342,203;8757762,842
GCP #148;1116,714;-380,515;438139,451;8757773,513
GCP #149;1151,156;-1307,006;438331,532;8756816,157
GCP #150;1034,053;-1228,651;438287,704;8756862,272
GCP #151;871,314;-1049,552;438281,225;8756913,341
GCP #152;2823,333;-930,031;438558,866;8757038,918
GCP #153;3717,229;-1867,89;438539,048;8756767,565
GCP #154;3312,778;-1390,168;438550,1;8756860,938
