id	col	lig	X_utm	Y_utm
GCP #1	944.915	-1121.319	438486.289	8756554.068
GCP #2	876.926	-1093.756	438485.478	8756522.422
GCP #3	724.41	-1091.919	438540.656	8756458.317
GCP #4	755.649	-1082.731	438517.124	8756472.112
GCP #5	924.702	-1069.868	438457.889	8756540.273
GCP #6	955.481	-1061.14	438435.168	8756558.125
GCP #7	1056.546	-1073.084	438417.316	8756612.492
GCP #8	1072.165	-1111.672	438440.848	8756615.738
GCP #9	1030.821	-1114.429	438453.831	8756594.641
GCP #10	1005.095	-1115.347	438462.149	8756583.889
GCP #11	961.913	-1145.667	438505.155	8756564.82
GCP #12	1016.12	-1146.586	438492.172	8756588.758
GCP #13	749.447	-1071.017	438509.618	8756469.88
GCP #14	810.086	-1043.913	438468.64	8756496.252
GCP #15	767.822	-1111.902	438531.528	8756484.892
GCP #16	751.744	-1102.714	438533.15	8756472.315
GCP #17	646.545	-1094.905	438566.826	8756430.525
GCP #18	1052.182	-1000.731	438365.992	8756607.827
GCP #19	1008.081	-975.924	438369.643	8756586.323
GCP #20	1043.913	-1043.454	438398.856	8756600.929
GCP #21	1040.238	-1025.538	438387.495	8756601.335
GCP #22	971.789	-933.201	438357.066	8756565.225
GCP #23	993.381	-917.582	438318.522	8756570.094
GCP #24	1012.215	-905.179	438293.367	8756581.454
GCP #25	1011.756	-924.932	438303.105	8756585.512
GCP #26	1014.053	-943.767	438330.288	8756580.643
GCP #27	1045.751	-971.789	438344.083	8756595.655
GCP #28	1107.768	-985.112	438320.551	8756630.141
GCP #29	1100.877	-1001.19	438335.563	8756620.404
GCP #30	1153.706	-992.002	438314.465	8756654.485
GCP #31	1131.196	-994.759	438322.579	8756641.502
GCP #32	1176.216	-997.974	438315.682	8756667.062
GCP #33	1092.608	-1023.7	438369.643	8756625.678
GCP #34	1166.11	-1099.499	438400.073	8756661.788
GCP #35	1180.81	-1088.473	438392.77	8756671.12
GCP #36	1192.295	-1104.552	438403.724	8756673.96
GCP #37	1120.171	-1112.821	438428.474	8756641.502
GCP #38	1113.74	-1128.899	438446.731	8756639.879
GCP #39	1150.49	-1141.303	438455.657	8756658.136
GCP #40	1154.625	-1043.454	438354.632	8756654.891
GCP #41	1189.998	-1062.288	438358.689	8756677.611
GCP #42	1230.424	-1087.095	438371.672	8756691
GCP #43	1303.466	-1098.121	438362.746	8756736.441
GCP #44	1249.258	-1034.725	438323.797	8756706.418
GCP #45	1285.55	-1058.154	438333.94	8756723.864
GCP #46	1253.852	-1130.737	438417.925	8756709.663
GCP #47	1349.864	-1126.143	438384.655	8756756.728
GCP #48	1330.57	-1099.499	438353.009	8756749.83
GCP #49	1372.833	-1118.333	438364.775	8756770.522
GCP #50	1363.645	-1105.93	438352.603	8756766.871
GCP #51	1333.326	-1077.448	438329.882	8756750.236
GCP #52	1324.138	-1078.367	438334.345	8756745.367
GCP #53	1400.856	-1124.765	438367.209	8756781.882
GCP #54	1394.424	-1115.118	438357.472	8756783.505
GCP #55	1409.584	-1118.793	438354.226	8756789.997
GCP #56	1391.668	-1105.011	438344.083	8756779.854
GCP #57	1398.099	-1085.258	438319.334	8756785.128
GCP #58	1447.713	-1136.709	438374.918	8756808.255
GCP #59	1504.677	-1116.496	438316.088	8756842.335
GCP #60	1501.461	-1107.308	438307.162	8756838.278
GCP #61	1483.086	-1115.118	438323.391	8756830.569
GCP #62	1446.794	-1107.768	438326.231	8756809.472
GCP #63	1330.57	-943.767	438219.525	8756756.728
GCP #64	1324.598	-941.011	438213.845	8756751.859
GCP #65	1298.413	-951.577	438228.046	8756735.224
GCP #66	1250.177	-973.627	438266.589	8756710.069
GCP #67	1263.499	-1004.406	438286.876	8756715.344
GCP #68	1311.735	-971.33	438236.16	8756742.527
GCP #69	1319.085	-989.246	438249.549	8756743.744
GCP #70	1342.054	-1009	438264.561	8756754.699
GCP #71	1373.752	-1038.4	438281.601	8756773.768
GCP #72	1522.133	-1073.773	438248.332	8756854.913
GCP #73	1447.713	-1020.484	438234.943	8756843.147
GCP #74	1405.909	-985.112	438201.268	8756795.677
GCP #75	1473.438	-1020.944	438199.645	8756829.352
GCP #76	1491.355	-1003.487	438167.187	8756841.524
GCP #77	1398.559	-952.036	438147.306	8756794.46
GCP #78	1434.391	-986.03	438170.027	8756809.877
GCP #79	1430.716	-992.462	438183.822	8756806.632
GCP #81	1539.59	-1108.227	438287.687	8756862.216
GCP #80	1543.265	-1096.742	438272.675	8756867.085
GCP #82	1564.397	-1097.661	438259.692	8756878.445
GCP #83	1605.742	-1061.829	438146.495	8756908.469
GCP #84	1546.94	-1025.078	438138.786	8756853.29
GCP #85	1578.638	-1064.585	438180.981	8756891.834
GCP #86	1601.607	-1087.095	438209.382	8756901.977
GCP #87	1662.246	-1109.146	438247.52	8756938.086
GCP #88	1637.899	-1110.983	438263.344	8756921.452
GCP #89	1741.26	-1135.79	438322.174	8756973.79
GCP #90	1333.785	-1189.079	438542.076	8756753.887
GCP #91	892.086	-1001.42	438408.39	8756528.913
GCP #92	971.1	-923.324	438309.393	8756558.937
GCP #93	951.806	-920.568	438280.993	8756543.519
GCP #94	963.75	-898.517	438258.272	8756551.634
GCP #97	951.806	-898.517	438243.666	8756541.085
GCP #95	966.696	-880.409	438231.494	8756547.576
GCP #96	1034.496	-856.254	438255.838	8756592.206
GCP #98	1020.714	-805.722	438175.504	8756576.789
GCP #99	1024.389	-790.103	438156.841	8756580.034
GCP #100	990.395	-822.259	438169.013	8756552.445
GCP #101	1053.79	-848.904	438246.912	8756605.189
GCP #112	1627.711	-1177.904	438497.465	8756909.041
GCP #114	954.254	-885.127	438227.736	8756539.638
GCP #116	950.887	-878.618	438216.867	8756536.987
GCP #115	934.728	-893.88	438222.169	8756525.323
GCP #117	924.403	-893.88	438215.276	8756517.9
GCP #118	942.358	-870.09	438193.539	8756529.829
GCP #119	919.915	-881.76	438192.479	8756515.249
GCP #120	910.937	-882.658	438183.466	8756506.236
GCP #121	969.291	-835.527	438173.392	8756545.735
GCP #122	927.097	-859.766	438167.56	8756518.165
GCP #123	912.733	-865.152	438159.872	8756502.79
GCP #124	890.738	-888.494	438172.067	8756492.186
GCP #125	882.658	-887.596	438168.62	8756485.824
GCP #126	892.085	-872.334	438152.715	8756492.982
GCP #127	887.596	-870.988	438143.967	8756486.354
GCP #128	891.187	-862.459	438137.605	8756490.596
GCP #129	880.863	-870.988	438140.521	8756482.908
GCP #130	873.681	-872.334	438135.749	8756475.486
GCP #131	887.147	-854.379	438121.699	8756483.438
GCP #132	881.312	-853.481	438118.518	8756481.318
GCP #133	867.397	-869.192	438124.35	8756472.57
GCP #134	854.828	-871.885	438119.844	8756463.026
GCP #135	796.923	-919.466	438162.523	8756428.83
GCP #136	807.248	-907.795	438143.437	8756435.457
GCP #137	782.111	-923.057	438160.668	8756419.552
GCP #138	801.412	-906.897	438138.93	8756430.42
GCP #139	794.23	-906.897	438138.135	8756423.528
GCP #140	812.634	-895.676	438126.206	8756435.192
GCP #141	838.669	-875.027	438109.77	8756449.772
GCP #142	907.795	-823.407	438095.986	8756495.367
GCP #143	892.085	-844.953	438114.807	8756486.089
GCP #144	885.8	-826.1	438078.49	8756477.076
GCP #145	850.788	-853.93	438085.912	8756457.99
GCP #146	821.163	-866.948	438089.889	8756436.782
GCP #147	815.776	-850.788	438068.151	8756430.155
